YEAR,PARTY,CONTESTED,SEATS_WON,VOTES_WON,PCT_VOTES_WON,CONVERSION_RATIO,MEDIAN_MARGIN,MEDIAN_PCT_MARGIN,WOMEN_CANDS,WOMEN_WINNERS
2004,ADMK,2,0,16737,0.066604147,0,,,0,0
2004,ICSP,1,0,111,0.00044172,0,,,0,0
2004,BPJP,1,0,228,0.000907316,0,,,0,0
2004,AIFB(S),1,0,1099,0.004373422,0,,,1,0
2004,AITC,1,0,4746,0.018886496,0,,,0,0
2004,MP,1,0,343,0.001364953,0,,,0,0
2004,SPSP,3,0,4037,0.016065062,0,,,2,0
2008,INC,222,80,9091364,34.7578299,8.80E-06,7632.5,6.664241226,11,0
2008,BJP,224,110,8857754,33.86469916,1.24E-05,10759.5,9.083725813,10,3
2008,JD(S),219,28,4959252,18.96006336,5.65E-06,12620,9.605756141,10,0
2008,BSP,217,0,716770,2.740333545,0,,,10,0
2008,IND,944,6,1810525,6.921944824,3.31E-06,12483,9.164235655,43,0
2008,SP,120,0,242941,0.928804738,0,,,4,0
2008,JD(U),72,0,86735,0.331602648,0,,,8,0
2008,RAHS,36,0,30738,0.117516599,0,,,3,0
2008,RPI(A),10,0,7765,0.029686915,0,,,0,0
2008,SKP,21,0,104278,0.398672519,0,,,1,0
2008,LJP,35,0,29520,0.112859978,0,,,1,0
2008,IUML,5,0,4500,0.017204265,0,,,0,0
2008,SHS,3,0,2455,0.009385882,0,,,0,0
2008,ABHM,6,0,2320,0.008869754,0,,,0,0
2008,ABMSD,1,0,663,0.002534762,0,,,0,0
2008,CPM,9,0,61687,0.235839886,0,,,1,0
2008,RPI,4,0,27362,0.104609577,0,,,0,0
2008,CPI,10,0,29831,0.114048984,0,,,0,0
2008,SUP,29,0,41116,0.157193457,0,,,4,0
2008,NDEP,2,0,1769,0.006763188,0,,,0,0
2008,ANC,10,0,5266,0.020132813,0,,,1,0
2008,CPI(ML)(L),6,0,10259,0.039221901,0,,,0,0
2008,SVP,1,0,551,0.002106567,0,,,0,0
2008,KCVP,6,0,13738,0.052522709,0,,,0,0
2008,BPJP,4,0,1833,0.007007871,0,,,0,0
2008,ADMK,7,0,9088,0.034744969,0,,,0,0
2008,IJP,1,0,639,0.002443006,0,,,0,0
2008,LKPT,11,0,3369,0.01288026,0,,,0,0
2008,TSNRP,1,0,164,0.000627,0,,,0,0
2008,AIFB,2,0,1052,0.004021975,0,,,0,0
2008,KP,3,0,773,0.00295531,0,,,0,0
2008,INL,1,0,228,0.000871683,0,,,0,0
2013,BJP,223,40,6236227,19.89071414,6.41E-06,10908,8.214247115,7,2
2013,INC,224,122,11473025,36.59370651,1.06E-05,13974.5,10.44640756,10,3
2013,BSP,175,0,284768,0.908279779,0,,,11,0
2013,IND,1217,9,2313386,7.378644109,3.89E-06,24803,18.65714866,66,0
2013,JD(S),222,40,6329158,20.18712156,6.32E-06,14705.5,9.813562662,12,1
2013,KJP,204,6,3069207,9.789367684,1.95E-06,4708.5,3.70764445,12,0
2013,BSRCP,176,4,844588,2.693849738,4.74E-06,33845,25.03455759,9,0
2013,LJP,15,0,6696,0.02135718,0,,,1,0
2013,JD(U),116,0,69865,0.222837421,0,,,8,0
2013,LSP,23,0,64422,0.205476739,0,,,6,0
2013,NCP,24,0,18886,0.060237709,0,,,2,0
2013,KASP,1,0,730,0.002328366,0,,,0,0
2013,NPP,21,0,9136,0.029139665,0,,,0,0
2013,SKP,6,1,109039,0.347784579,9.17E-06,9848,6.120876116,0,0
2013,SJPA,10,0,7381,0.023542017,0,,,2,0
2013,IUML,5,0,1474,0.004701386,0,,,0,0
2013,HJP,8,0,4798,0.015303427,0,,,1,0
2013,SHS,1,0,256,0.000816523,0,,,0,0
2013,KAP,1,0,439,0.001400209,0,,,0,0
2013,SP,27,1,105948,0.337925701,9.44E-06,6464,3.835951362,4,0
2013,WPOI,12,0,9783,0.031203299,0,,,2,0
2013,SDPI,23,0,98249,0.31336941,0,,,1,0
2013,SUCI,11,0,5353,0.017073624,0,,,5,0
2013,BDBRAJP,18,0,12277,0.039158019,0,,,2,0
2013,CPI,8,0,25450,0.081173869,0,,,0,0
2013,KMP,7,1,55867,0.178190198,1.79E-05,15788,12.64486573,0,0
2013,CPM,16,0,68775,0.219360819,0,,,1,0
2013,RPI(A),12,0,8193,0.026131926,0,,,1,0
