ST_NAME,YEAR,AC_NO,POSITION,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
Karnataka,1962,105,3,HONNALI,GEN,PARAMESHWARAIAH,M,,,JS,2181
Karnataka,1962,106,1,SHIKARIPURA,SC,VEERAPPA,M,,,INC,17313
Karnataka,1962,106,2,SHIKARIPURA,SC,G. BASAVANNAPPA,M,,,PSP,12385
Karnataka,1962,106,3,SHIKARIPURA,SC,MANGALA NAIK,M,,,IND,1077
Karnataka,1962,106,4,SHIKARIPURA,SC,D. C. GODWALKAR,M,,,JS,758
Karnataka,1962,107,1,SAGAR,GEN,V. S. LAXMIKANTHAPPA,M,,,INC,20854
Karnataka,1962,107,2,SAGAR,GEN,K. THIMMAPPA,M,,,SOC,17555
Karnataka,1962,107,3,SAGAR,GEN,H. S. HASAN,M,,,PSP,1824
Karnataka,1962,108,1,TIRTHAHALLI,GEN,S. GOPALA GOWDA,M,,,SOC,18649
Karnataka,1962,108,2,TIRTHAHALLI,GEN,K. T. DANAMMA,F,,,INC,6085
Karnataka,1962,108,3,TIRTHAHALLI,GEN,SWAMY RAO,M,,,IND,3685
Karnataka,1962,108,4,TIRTHAHALLI,GEN,VIRUPAKSHAPPA GOWDA,M,,,IND,1751
Karnataka,1962,108,5,TIRTHAHALLI,GEN,VENKAPPA HEGGADE,M,,,IND,1645
Karnataka,1962,108,6,TIRTHAHALLI,GEN,RAMAKRISHNA PRABHU,M,,,JS,1338
Karnataka,1962,109,1,SULLIA,ST,SUBBAYA NAIKA,M,,,INC,12787
Karnataka,1962,109,2,SULLIA,ST,VENKAPPA NAIKA,M,,,SWA,9991
Karnataka,1962,109,3,SULLIA,ST,VENKAPPA,M,,,CPI,1871
Karnataka,1962,109,4,SULLIA,ST,KRISHNA,M,,,JS,1248
Karnataka,1962,110,1,PUTTUR,GEN,K. VENKATRAMANA GOWDA,M,,,INC,14259
Karnataka,1962,110,2,PUTTUR,GEN,K. UGGAPPA SHETTY,M,,,SWA,8163
Karnataka,1962,110,3,PUTTUR,GEN,K. RAMA BHATTA,M,,,JS,4383
Karnataka,1962,110,4,PUTTUR,GEN,SANJIVA RAI,M,,,CPI,2624
Karnataka,1962,111,1,BELTHANGADY,GEN,VAIKUNTA BALIGA,M,,,INC,15991
Karnataka,1962,111,2,BELTHANGADY,GEN,K. B. JINARAJA HEGDE,M,,,SWA,12486
Karnataka,1962,111,3,BELTHANGADY,GEN,RAMA NAIK,M,,,IND,4730
Karnataka,1962,111,4,BELTHANGADY,GEN,VISHWANATH SHENOY,M,,,JS,1418
Karnataka,1962,112,1,PANEMANGALORE,GEN,K. NAGAPPA ALVA,M,,,INC,16170
Karnataka,1962,112,2,PANEMANGALORE,GEN,M. H. KRISHNAPPA,M,,,CPI,10805
Karnataka,1962,112,3,PANEMANGALORE,GEN,M. SADASHIVA HEGDE,M,,,SWA,5323
Karnataka,1962,112,4,PANEMANGALORE,GEN,MARI BHAT,M,,,IND,907
Karnataka,1962,112,5,PANEMANGALORE,GEN,RAMA MAYYA,M,,,JS,703
Karnataka,1962,113,1,MANGALORE I,GEN,M. SHRINIVASA NAYAK,M,,,INC,16785
Karnataka,1962,113,2,MANGALORE I,GEN,A. SHANTHARAM PAI,M,,,CPI,11059
Karnataka,1962,113,3,MANGALORE I,GEN,LAURA PAIS,F,,,SWA,9588
Karnataka,1962,113,4,MANGALORE I,GEN,C. G. KAMATH,M,,,JS,3142
Karnataka,1962,114,1,MANGALORE II,GEN,A. KRISHNA SHETTY,M,,,CPI,17725
Karnataka,1962,114,2,MANGALORE II,GEN,B. M. IDDINABBA,M,,,INC,16912
Karnataka,1962,114,3,MANGALORE II,GEN,H. NAGAPPA,M,,,SWA,4230
Karnataka,1962,114,4,MANGALORE II,GEN,RAGHUATH,M,,,JS,1740
Karnataka,1962,114,5,MANGALORE II,GEN,S. M. SAYED AHAMED,M,,,IND,1231
Karnataka,1962,115,1,SURATHKAL,GEN,SANJEEVANATH AIKALA,M,,,PSP,13148
Karnataka,1962,115,2,SURATHKAL,GEN,K. DOOMAPPA,M,,,INC,9981
Karnataka,1962,115,3,SURATHKAL,GEN,MARIAN PAIS,M,,,IND,3230
Karnataka,1962,115,4,SURATHKAL,GEN,SUNDARA B. AMIN,M,,,JS,529
Karnataka,1962,116,1,KAPU,GEN,B. BHASKAR SHETTY,M,,,PSP,13624
Karnataka,1962,116,2,KAPU,GEN,F. X. D. PINTO,M,,,INC,13441
Karnataka,1962,116,3,KAPU,GEN,MATHAIS CHARLES FERNANDES,M,,,IND,870
Karnataka,1962,117,1,UDUPI,GEN,M. MADHVARAJA,M,,,INC,17511
Karnataka,1962,117,2,UDUPI,GEN,UPENDRA NAYAK,M,,,PSP,8003
Karnataka,1962,117,3,UDUPI,GEN,K. DASA SERIGARA,M,,,CPI,5395
Karnataka,1962,117,4,UDUPI,GEN,DEVAPRASADA SETTY,M,,,JS,1774
Karnataka,1962,118,1,BRAHMAVAR,GEN,S. D. SAMRAJYA,M,,,INC,14601
Karnataka,1962,118,2,BRAHMAVAR,GEN,SHEENAPPA SHETTY,M,,,PSP,6915
Karnataka,1962,118,3,BRAHMAVAR,GEN,K. MAHABALESHWARA ADIGA,M,,,JS,5790
Karnataka,1962,119,1,KUNDAPURA,GEN,S. S. KOLKEBAIL,M,,,INC,16975
Karnataka,1962,119,2,KUNDAPURA,GEN,V. SRINIVASA SHETTY,M,,,PSP,14858
Karnataka,1962,119,3,KUNDAPURA,GEN,K. H. SURYANARAYANA HANDE,M,,,IND,460
Karnataka,1962,120,1,BYNDOOR,GEN,Y. MANJAYYA SHETTY,M,,,INC,16591
Karnataka,1962,120,2,BYNDOOR,GEN,H. SUBBA RAO,M,,,PSP,14752
Karnataka,1962,120,3,BYNDOOR,GEN,VISHWESHWARAYA,M,,,IND,2508
Karnataka,1962,121,1,KARKAL,GEN,DAYANAND R. KALLE,M,,,PSP,17234
Karnataka,1962,121,2,KARKAL,GEN,K. K. HEGDE,M,,,INC,11372
Karnataka,1962,121,3,KARKAL,GEN,R. DEVARAYA SHENOY,M,,,IND,578
Karnataka,1962,122,1,MOODABIDRI,SC,GOPAL SALENNA,M,,,SWA,10431
Karnataka,1962,122,2,MOODABIDRI,SC,MANJAPPA ULLAL,M,,,INC,10173
Karnataka,1962,123,1,SRINGERI,GEN,KADIDAL MANJAPPA,M,,,INC,24824
Karnataka,1962,123,2,SRINGERI,GEN,N. P. GOVINDA GOWDA,M,,,IND,9587
Karnataka,1962,123,3,SRINGERI,GEN,H. P. GANAPATHI PRABHU,M,,,IND,805
Karnataka,1962,124,1,TARIKERE,GEN,T. R. PARAMESHWARAIAH,M,,,INC,18357
Karnataka,1962,124,2,TARIKERE,GEN,HANJI SHIVANNA,M,,,PSP,17990
Karnataka,1962,124,3,TARIKERE,GEN,VIRUPAKSHAPPA,M,,,IND,1352
Karnataka,1962,124,4,TARIKERE,GEN,M. R. RAMAIAH,M,,,JS,1250
Karnataka,1962,125,1,KADUR,GEN,G. MARULAPPA,M,,,IND,21736
Karnataka,1962,125,2,KADUR,GEN,D. H. RUDRAPPA,M,,,INC,10329
Karnataka,1962,126,1,CHIKMAGALUR,GEN,B. L. SUBBAMMA,F,,,INC,9717
Karnataka,1962,126,2,CHIKMAGALUR,GEN,C. M. S. SHASTRY,M,,,PSP,6378
Karnataka,1962,126,3,CHIKMAGALUR,GEN,SANNEGOWDA,M,,,IND,5656
Karnataka,1962,127,1,MUDIGERE,SC,K. H. RANGANATH,M,,,PSP,10423
Karnataka,1962,127,2,MUDIGERE,SC,L. H. THIMMABHOVI,M,,,INC,10373
Karnataka,1962,127,3,MUDIGERE,SC,D. DODDAIAH,M,,,IND,1290
Karnataka,1962,128,1,ARSIKERE,GEN,P .B. BOMMANNA,M,,,PSP,14639
Karnataka,1962,128,2,ARSIKERE,GEN,A. R. KARISIDDAPPA,M,,,INC,11655
Karnataka,1962,128,3,ARSIKERE,GEN,T. MOHAMED ISMAIL,M,,,IND,928
Karnataka,1962,128,4,ARSIKERE,GEN,K. M. BASAVARAJ,M,,,JS,824
Karnataka,1962,129,1,BELUR,SC,B. H. LAKSHMANAIAH,M,,,INC,10801
Karnataka,1962,129,2,BELUR,SC,RANGA BOYI,M,,,JS,2734
Karnataka,1962,129,3,BELUR,SC,KALASAIAH,M,,,PSP,2415
Karnataka,1962,129,4,BELUR,SC,MANJAIAH SETTY,M,,,IND,978
Karnataka,1962,129,5,BELUR,SC,B. HANUMANTHIAH,M,,,SWA,868
Karnataka,1962,130,1,SAKLESHPUR,GEN,S. A. VASANNA SETTY,M,,,INC,18623
Karnataka,1962,130,2,SAKLESHPUR,GEN,N. B. SHETTY,M,,,JS,8437
Karnataka,1962,130,3,SAKLESHPUR,GEN,S. M. JOHN TAYLOR,M,,,CPI,2358
Karnataka,1962,131,1,ARKALGUD,GEN,G. A. THIMMAPPA GOWDA,M,,,INC,18967
Karnataka,1962,131,2,ARKALGUD,GEN,H. N. NANJE GOWDA,M,,,PSP,11870
Karnataka,1962,131,3,ARKALGUD,GEN,D. H. JAWARAIAH,M,,,IND,1069
Karnataka,1962,131,4,ARKALGUD,GEN,K. NAGARAJA RAO,M,,,JS,739
Karnataka,1962,131,5,ARKALGUD,GEN,S. KADEGOWDA,M,,,IND,340
Karnataka,1962,132,1,HASSAN,GEN,YASHODHARAMMA,F,,,INC,11498
Karnataka,1962,132,2,HASSAN,GEN,H. B. JWALANAIAH,M,,,IND,9265
Karnataka,1962,132,3,HASSAN,GEN,M. R. PUTTASWAMIAH,M,,,PSP,6166
