,ST_NAME,YEAR,AC_NO,POSITION,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
2196,Karnataka,1972,68,6,KOLAR GOLD FIELD,SC,D. ASOKAN,M,,,IND,558.0
2197,Karnataka,1972,68,7,KOLAR GOLD FIELD,SC,M. GANESHAN,M,,,IND,290.0
2198,Karnataka,1972,69,1,BETHAMANGALA,GEN,K. M. DORESWAMY NAIDU,M,,,IND,20380.0
2199,Karnataka,1972,69,2,BETHAMANGALA,GEN,K. C. VENKATESH,M,,,INC,14490.0
2200,Karnataka,1972,69,3,BETHAMANGALA,GEN,C. PADAMANABHAN,M,,,IND,550.0
2201,Karnataka,1972,69,4,BETHAMANGALA,GEN,K .A. GANGADHARAM,M,,,IND,386.0
2202,Karnataka,1972,70,1,KOLAR,GEN,D. VENKATARAMIAH,M,,,INC,14639.0
2203,Karnataka,1972,70,2,KOLAR,GEN,P. VENKATAGIRIYAPPA,M,,,IND,13147.0
2204,Karnataka,1972,70,3,KOLAR,GEN,MD. FAZALULLA SHERIEFF,M,,,IND,2490.0
2205,Karnataka,1972,70,4,KOLAR,GEN,S. CHANDRAIAH,M,,,NCO,523.0
2206,Karnataka,1972,71,1,VEMAGAL,GEN,C. BYRE GOWDA,M,,,IND,21258.0
2207,Karnataka,1972,71,2,VEMAGAL,GEN,S. GOVINDA GOWDA,M,,,INC,20031.0
2208,Karnataka,1972,72,1,MALUR,GEN,A. V. MUNISAMI,M,,,INC,23581.0
2209,Karnataka,1972,72,2,MALUR,GEN,H. C. LINGA REDDY,M,,,IND,15605.0
2210,Karnataka,1972,72,3,MALUR,GEN,B. A. NARAYANA SWAMY,M,,,NCO,1039.0
2211,Karnataka,1972,72,4,MALUR,GEN,SANTHA BOVI,M,,,IND,226.0
2212,Karnataka,1972,73,1,MALLESHWARAM,GEN,M. S. KRISHNAN,M,,,CPI,31925.0
2213,Karnataka,1972,73,2,MALLESHWARAM,GEN,P. RAMDEV,M,,,IND,13506.0
2214,Karnataka,1972,73,3,MALLESHWARAM,GEN,B. M. RAMA KRISHNAPPA,M,,,BJS,7256.0
2215,Karnataka,1972,73,4,MALLESHWARAM,GEN,K. B. VENKATESH,M,,,IND,5682.0
2216,Karnataka,1972,73,5,MALLESHWARAM,GEN,KESARI GOPINATH,M,,,IND,461.0
2217,Karnataka,1972,73,6,MALLESHWARAM,GEN,H. S. SHESHIBHUSHAN,M,,,IND,410.0
2218,Karnataka,1972,73,7,MALLESHWARAM,GEN,RAMDAS,M,,,IND,369.0
2219,Karnataka,1972,74,1,GANDHI NAGAR,GEN,K. SREERAMULU,M,,,INC,12812.0
2220,Karnataka,1972,74,2,GANDHI NAGAR,GEN,S. E. VENUGOPAL,M,,,IND,11535.0
2221,Karnataka,1972,74,3,GANDHI NAGAR,GEN,N. RAMU,M,,,NCO,4972.0
2222,Karnataka,1972,74,4,GANDHI NAGAR,GEN,RAMACHANDRA GOWDA,M,,,BJS,4427.0
2223,Karnataka,1972,74,5,GANDHI NAGAR,GEN,B. RAMAKRISHNA,M,,,IND,2473.0
2224,Karnataka,1972,74,6,GANDHI NAGAR,GEN,A. NAGESHA RAO,M,,,CPM,1182.0
2225,Karnataka,1972,75,1,CHICKPET,GEN,K. M. NAGANNA,M,,,JPP,8936.0
2226,Karnataka,1972,75,2,CHICKPET,GEN,KALAPANDA THIMMAIAH,M,,,INC,7714.0
2227,Karnataka,1972,75,3,CHICKPET,GEN,VATAL NAGARAJ,M,,,IND,5549.0
2228,Karnataka,1972,75,4,CHICKPET,GEN,P. KRISHNA MURTHY,M,,,IND,1478.0
2229,Karnataka,1972,75,5,CHICKPET,GEN,N. SHANKARANARAYANA,M,,,IND,578.0
2230,Karnataka,1972,75,6,CHICKPET,GEN,R. SHANKAR,M,,,IND,211.0
2231,Karnataka,1972,75,7,CHICKPET,GEN,VENKATESHA,M,,,IND,135.0
2232,Karnataka,1972,75,8,CHICKPET,GEN,KUPPASWAMY,M,,,IND,132.0
